NO.1,0,45.0,43.0,45.0,45.0,45.0,43.0
NO.2,1,53.0,51.0,53.0,53.0,53.0,51.0
NO.3,0,48.0,50.0,48.0,48.0,48.0,50.0
NO.4,0,47.0,48.0,47.0,47.0,47.0,48.0
NO.5,0,50.0,47.0,50.0,50.0,50.0,47.0
NO.6,1,54.0,51.0,54.0,54.0,54.0,51.0
NO.7,0,49.0,40.0,49.0,49.0,49.0,40.0
NO.8,0,51.0,48.0,51.0,51.0,51.0,48.0
NO.9,1,54.0,52.0,54.0,54.0,54.0,52.0
NO.10,1,56.0,56.0,56.0,56.0,56.0,56.0
NO.11,0,45.0,45.0,45.0,45.0,45.0,45.0
NO.12,1,54.0,51.0,54.0,54.0,54.0,51.0
NO.13,1,52.0,52.0,52.0,52.0,52.0,52.0
NO.14,0,48.0,49.0,48.0,48.0,48.0,49.0
NO.15,0,53.0,47.0,53.0,53.0,53.0,47.0
NO.16,0,46.0,45.0,46.0,46.0,46.0,45.0
NO.17,0,49.0,45.0,49.0,49.0,49.0,45.0
NO.18,1,57.0,54.0,57.0,57.0,57.0,54.0
NO.19,0,45.0,48.0,45.0,45.0,45.0,48.0
NO.20,0,49.0,45.0,49.0,49.0,49.0,45.0
NO.21,0,48.0,49.0,48.0,48.0,48.0,49.0
NO.22,0,46.0,51.0,46.0,46.0,46.0,51.0
NO.23,0,51.0,49.0,51.0,51.0,51.0,49.0
NO.24,0,48.0,50.0,48.0,48.0,48.0,50.0
NO.25,1,53.0,51.0,53.0,53.0,53.0,51.0
NO.26,1,54.0,52.0,54.0,54.0,54.0,52.0
NO.27,1,55.0,57.0,55.0,55.0,55.0,57.0
NO.28,0,50.0,50.0,50.0,50.0,50.0,50.0
NO.29,1,57.0,59.0,57.0,57.0,57.0,59.0
NO.30,0,49.0,51.0,49.0,49.0,49.0,51.0
NO.31,0,49.0,50.0,49.0,49.0,49.0,50.0
NO.32,0,48.0,51.0,48.0,48.0,48.0,51.0
NO.33,1,56.0,53.0,56.0,56.0,56.0,53.0
NO.34,1,55.0,53.0,55.0,55.0,55.0,53.0
NO.35,0,46.0,47.0,46.0,46.0,46.0,47.0
NO.36,1,53.0,54.0,53.0,53.0,53.0,54.0
NO.37,0,48.0,45.0,48.0,48.0,48.0,45.0
NO.38,1,57.0,57.0,57.0,57.0,57.0,57.0
NO.39,0,44.0,44.0,44.0,44.0,44.0,44.0
NO.40,0,50.0,52.0,50.0,50.0,50.0,52.0
NO.41,1,53.0,54.0,53.0,53.0,53.0,54.0
NO.42,0,49.0,49.0,49.0,49.0,49.0,49.0
NO.43,1,53.0,54.0,53.0,53.0,53.0,54.0
NO.44,1,53.0,53.0,53.0,53.0,53.0,53.0
NO.45,0,52.0,47.0,52.0,52.0,52.0,47.0
NO.46,1,53.0,52.0,53.0,53.0,53.0,52.0
NO.47,0,48.0,45.0,48.0,48.0,48.0,45.0
NO.48,0,46.0,48.0,46.0,46.0,46.0,48.0
NO.49,0,50.0,52.0,50.0,50.0,50.0,52.0
NO.50,0,50.0,49.0,50.0,50.0,50.0,49.0
NO.51,1,54.0,55.0,54.0,54.0,54.0,55.0
NO.52,1,56.0,55.0,56.0,56.0,56.0,55.0
NO.53,1,57.0,57.0,57.0,57.0,57.0,57.0
NO.54,0,49.0,47.0,49.0,49.0,49.0,47.0
NO.55,0,50.0,51.0,50.0,50.0,50.0,51.0
NO.56,1,61.0,60.0,61.0,61.0,61.0,60.0
NO.57,1,53.0,53.0,53.0,53.0,53.0,53.0
NO.58,0,50.0,48.0,50.0,50.0,50.0,48.0
NO.59,1,60.0,60.0,60.0,60.0,60.0,60.0
NO.60,1,54.0,55.0,54.0,54.0,54.0,55.0
NO.61,1,53.0,54.0,53.0,53.0,53.0,54.0
NO.62,0,51.0,47.0,51.0,51.0,51.0,47.0
NO.63,1,52.0,55.0,52.0,52.0,52.0,55.0
NO.64,0,50.0,51.0,50.0,50.0,50.0,51.0
NO.65,1,54.0,51.0,54.0,54.0,54.0,51.0
NO.66,0,49.0,48.0,49.0,49.0,49.0,48.0
NO.67,0,49.0,53.0,49.0,49.0,49.0,53.0
NO.68,1,55.0,50.0,55.0,55.0,55.0,50.0
NO.69,1,53.0,50.0,53.0,53.0,53.0,50.0
NO.70,1,58.0,57.0,58.0,58.0,58.0,57.0
NO.71,1,57.0,56.0,57.0,57.0,57.0,56.0
NO.72,0,51.0,51.0,51.0,51.0,51.0,51.0
NO.73,0,52.0,48.0,52.0,52.0,52.0,48.0
NO.74,0,52.0,49.0,52.0,52.0,52.0,49.0
NO.75,1,54.0,54.0,54.0,54.0,54.0,54.0
NO.76,0,47.0,52.0,47.0,47.0,47.0,52.0
NO.77,1,52.0,54.0,52.0,52.0,52.0,54.0
NO.78,1,53.0,52.0,53.0,53.0,53.0,52.0
NO.79,1,56.0,57.0,56.0,56.0,56.0,57.0
NO.80,1,60.0,60.0,60.0,60.0,60.0,60.0
NO.81,1,55.0,53.0,55.0,55.0,55.0,53.0
NO.82,1,53.0,51.0,53.0,53.0,53.0,51.0
NO.83,1,57.0,58.0,57.0,57.0,57.0,58.0
NO.84,1,52.0,51.0,52.0,52.0,52.0,51.0
NO.85,1,57.0,54.0,57.0,57.0,57.0,54.0
NO.86,1,51.0,55.0,51.0,51.0,51.0,55.0
NO.87,1,54.0,51.0,54.0,54.0,54.0,51.0
NO.88,1,58.0,59.0,58.0,58.0,58.0,59.0
NO.89,1,53.0,53.0,53.0,53.0,53.0,53.0
NO.90,0,48.0,50.0,48.0,48.0,48.0,50.0
NO.91,1,54.0,55.0,54.0,54.0,54.0,55.0
NO.92,1,56.0,56.0,56.0,56.0,56.0,56.0
NO.93,0,51.0,50.0,51.0,51.0,51.0,50.0
NO.94,0,43.0,51.0,43.0,43.0,43.0,51.0
NO.95,0,50.0,50.0,50.0,50.0,50.0,50.0
NO.96,0,47.0,48.0,47.0,47.0,47.0,48.0
NO.97,0,50.0,51.0,50.0,50.0,50.0,51.0
NO.98,1,53.0,54.0,53.0,53.0,53.0,54.0
NO.99,0,50.0,55.0,50.0,50.0,50.0,55.0
NO.100,1,56.0,55.0,56.0,56.0,56.0,55.0
NO.101,1,53.0,53.0,53.0,53.0,53.0,53.0
